"","路線名","駅名","X1975年","X1980年","X1985年","X1989年","X1993年","X1998年","X2003年","X2008年","X2009年","X2010年"
"1","横浜線","橋本駅",31954,35144,44758,57466,88988,94680,104522,118162,118098,120244
"2","横浜線","相模原駅",29144,31732,39784,48172,52430,52812,53448,56370,55774,56158
"3","横浜線","矢部駅",6706,9516,11562,16974,20532,20384,21220,22648,22348,22356
"4","横浜線","淵野辺駅",27228,32378,39840,52544,59198,58794,72368,77154,78518,79600
"5","横浜線","古淵駅",NA,NA,NA,14802,30840,37590,39480,42410,42404,42796
"6","横浜線","相原駅（参考）",6488,7812,11278,16058,20530,22174,21334,20330,20194,20422
"7","横浜線","町田駅（参考）",54506,79366,119620,171478,195652,197638,211864,216428,215598,218154
"8","相模線","南橋本駅",2536,2006,2316,4244,9536,10176,9836,10886,10622,10622
"9","相模線","上溝駅",4526,4562,3292,4210,8686,9910,9798,11456,11206,11060
"10","相模線","番田駅",1218,2334,1928,2766,4558,5490,5484,5980,6076,6388
"11","相模線","原当麻駅",1874,2930,3126,4164,5834,6616,6890,8282,8266,8328
"12","相模線","下溝駅",836,856,1082,1184,1572,1652,1694,2002,1994,1968
"13","相模線","相武台下駅",700,794,808,1114,1532,1798,1856,2510,2404,2184
"14","中央本線","相模湖駅",NA,NA,NA,NA,NA,NA,6744,6914,6904,6746
"15","中央本線","藤野駅",NA,NA,NA,NA,NA,NA,5898,5892,5742,5550
"16","中央本線","高尾駅（参考）",NA,NA,NA,NA,NA,NA,65108,63334,61724,61034
"17","中央本線","八王子駅（参考）",NA,NA,NA,NA,NA,NA,162546,164788,160546,160438
"18","小田急線","相模大野駅",83267,84879,87864,95594,106006,109717,108602,121338,119240,119166
"19","小田急線","小田急相模原駅",48952,50881,54001,61564,63542,57429,55944,55754,55392,55034
"20","小田急線","東林間駅",19818,20921,22554,25316,27219,24346,22883,22176,21796,21422
"21","小田急線","町田駅（参考）",154831,197393,236259,281813,297703,279498,282772,291952,289622,290621
"22","小田急線","相武台前駅（参考）",32405,36235,39880,44960,47728,44228,41987,39977,39301,39160
"23","小田急線","唐木田（参考）",NA,NA,NA,2944,9190,12845,16037,19994,20539,21228
"24","京王線","橋本駅（京王）",NA,NA,NA,33755,55492,67917,78072,88320,88427,88065
"25","京王線","多摩境駅（参考）",NA,NA,NA,NA,2947,4464,10727,16526,16678,17183
